609, múa mép khua môi, mũi dãi
610, mũi dao, muối mỏ
611, muối tảng, mưa gào gió thép
612, mưa gào gió thét, mừng rỡ
613, mừng rơn, mưu cầu
614, mưu chước, mưu trí
615, n, nài xin
616, nài, nản chí
617, nản lòng, nào
618, nào, nát thịt tan xương
619, nát tươm, năm âm lịch
620, năm ba, nằm khèo
621, nằm khểnh, năng lượng hạt nhân
622, năng may hơn dày giẻ, nặng tai
623, nặng tay, nẩu
624, nẩu, nén
625, nén, nếm trải
626, nếm trải, nếu vậy
627, nga, ngải đắng
628, ngái, ngang ngược
629, ngang nhiên, ngay
630, ngay, ngày rộng tháng dài
631, ngày sau, ngẳng 
632, ngẳng, ngậm hột thị
633, ngậm hờn nuốt tủi, ngập ngừng
634, ngập ngừng, ngấy
635, ngấy, nghèo ngặt
636, nghèo ngặt, nghêu ngao
637, nghễu nghiện, nghí ngởn
638, nghí ngởn, nghiêm mật
639, nghiêm minh, nghiệp báo
640, nghiệp chướng, ngoài cuộc 
641, ngoài da, ngoại thương
642, ngoại tiếp, ngoại kép
643, ngoặc tay, ngòi bút
644, ngòi nổ, ngỏng
645, ngỏng, ngộ nhỡ
646, ngộ nhỡ, ngổn ngang
647, ngổn ngang, ngợi khen
648, ngơm ngớp, ngũ tuần
649, ngũ thường, nguồn lực
650,  nguồn lực, nguyên khai
651, nguyên khí, nguýt
652, ngư, ngựa
653, ngựa bạch, người bị hại
654, người cá, ngượng mặt
655, ngượng mồm, nhà hàng
656, nhà hàng, nhà thông thái
657, nhà thơ, nhạc công
658, nhạc công, nhàm tai
659, nhàm, nhanh trí
660, nhành, nhạt phèo
661, nhạt thếch, nháy nháy
662, nháy nháy, nhăn nheo
663, nhăn nheo, nhặng xị
664, nhặng xị, nhân danh
665, nhân danh, nhân tình
666, nhân tình nhân ngãi, nhận thức luận
667, nhận thực, nhập ngũ
668, nhập nhà nhập nhằng, nhất thần
669, nhất thể hóa, nhẹ bỗng
670, nhẹ dạ, nhể
671, nhể, nhiếc
672, nhiếc, nhiêu
673, nhiêu khê, nho gia
674, nho gia, nhoài
675, nhoài, nhòn nhọn
676, nhón, nhộn
677, nhộn, nhớ ơn
678, nhớ ra, nhủ
679, nhủ, nhũn
680, nhũn, nhụt chí
681, nhụt chí, nhưng nhức
682, những, niệm kinh
683, niên, no
684, no, nói chung
685, nói chuyện, nói mò
686, nói móc, nói trống không
687, nói trống không, nong
688,  nong, nô dịch
689, nô dịch, nổi gió
690, nổi khùng, nội đồng
691, nội đồng, nôn nóng
692, nôn thốc nôn tháo, nồng nỗng
693, nồng nỗng, nơm nớp
694, nờm nợp, nuôi
695, nuôi, nữ công
696, nữ giới, nực nội 
697, nực nội, nước lèo
698, nước lên thuyền cũng lên, nương nhờ
699, nương nhờ, nylon
700, o, oan
701, oan gia, ODA 
702,  ODA, òng òng
703, ỏng, ozon 
704, ô, ố
705, ố, ốm tương tư
706, ốm yếu, ồng ộc
707, ổng, ốp
708, ốp, ôsin
709, ơ, ơn huệ
710, ơn ớn, ớt rừng
711, p, phá bĩnh
712, phá bỏ, phạch
713, phạch, phải trái
714, phải trái, phản biện
715, phản bội, phán xét
716, phán sự, pháo hạm
717, pháo hiệu, phát điện
718, phát động, phạt đền
719, phạt gián tiếp, phẩm chất
720, phẩm giá, phân hủy
721, phân hữu cơ, phẫn chí
722, phẫn khích, Phật học
723, phật lòng, phép giải
724, phép giải, phềnh
725, phềnh, phì
726, phì, phiên thuộc
727, phiên tòa, phim 
728, phim, phó tang
729, phó thác, phong tặng
730, phong tặng, phòng tuyến
731, phòng vệ, phóng xá
732, phóng xạ, phối chế
733, phối hợp, phơi
734, phơi, phù phụt
735, phù phụt, phụ hệ
736, phụ họa, phục
737, phục, phụng
738, phụng hoàng, phương thức
739, phương thức, púp-pê
740, q, quả cư
741, quả dại, quá kì
742, quá lắm, quái thai
743, quái tượng, quàn
744, quàn, quang hợp
745, quang hợp, quanh quẩn
746, quanh quẩn, quạu quọ
747, quay, quắn
748, quắn, quân hạm
749, quân hiệu, quần soóc
750, quần tam tụ ngũ, quầy quả
751, quầy quả, quen thói
752, quen thuộc, quên lứt
753, quên mất, qui tụ
754, qui ước, quí tử
755, quí tướng, quốc sử quán
756, quốc sự, quyên tặng
757, quyên trợ, quyết nghị
758, quyết nghị, quýnh quýu
759, r, ra môn ra khoai
760, ra năm, rã rượi
761, rã sòng, ràn rụa
762, ràn rụa, rành rõ
763, rành rõ, ráo túi
764, rạo, rau sống
765, rau súp-lơ, rặn
766, rặn, rậm lời
767, rậm nét, râu ria
768, râu ria, rèn tập 
769, rén, rết
770, rêu, rỉa rói
771, rịa, rịt
772, riu, rói
773, rọi, rô-bốt
774, rô-nê-ô, rối rắm
775, rối rắm, rỗng hoác
776, rỗng không, rợ
777, rợ, ru rú
778, rù, rum-ba
779, rùm, rụng rời
780, rụng rời, rút
781, rút, rửng mỡ
782, rựng, rứt ruột
783, s, sà sẫm
784, sà sẫm, sạch nợ
785, sạch nước cảm, sãi
786, sãi, sàn nhược
787, sàm sàn, sang nhượng
788, sang nhượng, sáng mắt
789, sáng mắt, sánh bước
790, sánh bước, sáo mượn lông công
791, sáo ngang, sát sinh
792, sát sinh, say như chết
793, say như điếu đổ, sặc sỡ
794, sặc sỡ, sẵn lòng
795, sẵn lòng, sâm banh
796, sâm cau, sân còn gần hơn ngõ
797, sân chơi, sập tiệm
798, sập tiệm, sây
799, sây sát, séc bảo chi
800, séc du lịch, sền sệt
801, sến, sì sụp
802, sỉ, siêu hiện thực
803, siêu hình, sinh diệt
804, sinh diệt, sinh sản
805, sinh sản bằng lá, sình trướng
806, sình lầy, soai soài
807, soai soài, sóm sém
808, sóm sém, song song
809, song tấu, sóng ngang
810, sóng ngầm, sổ hộ khẩu
811, sổ lòng, số hóa
812, số học, sôi gan nổi mật
813, sôi gan nổi mật, sông Ngô bể Sở
814, sông Ngô bể Sở, sống để dạ chết mang đi
815, sống để dạ chết mang đi, sốt gan
816, sốt gan, sơ-mi-dét
817, sơ nhiễm, sở dĩ
818, sở dĩ, sợi
819, sợi, sơn cùng thủy tận
820,  sơn cùng thủy tận, sờn lòng
821, sờn lòng, súc
822, súc-cù-la, sung sức
823, sung sướng, suôi
824, suối, suy bì
825, suy biến, suyễn
826, suyễn, sự biến
827, sự biến, sức
828, sức bật, sửng sốt
829, sửng sốt, sượng trân
830, sượng trân, sửu
831, t, tá
832, tá, tạc
833, tạc, tai vạ
834, tai vách mạch dừng, tài trí
835, tài trí, tái thẩm
836, tái thế, tam thập nhi lập
837, tam thất, tàn khốc
838, tàn khốc, tang thương
839, tang thương, táo
840, táo, tàu chậm
841, tàu chiến, táy máy
842, tắc, tằng hắng
843, tằng tịu, tâm linh
844, tâm lực, tẩm
845, tẩm, tận diệt
846, tận dụng, tập tễnh
847, tập tễnh, tẩy
848, tẩy, tép
849, téo riu, tên lửa đường đạn
850, tên lửa vũ trụ, tha tội
851, thà, thạch quan
852, thạch quyển, tham bát bỏ mâm
853, tham chiến, thảm thê
854, thảm thiết, thán phục
855, thán tinh, thanh học
856, thanh hương, thanh trừ
857, thanh trừ, thành tâm thành ý
858, thành tâm thiện ý, thào
859, thào thào, tháp kinh
860, tháp ngà, thăm thẳm
861, thăm thẳm, thẳng đơ
862, thẳng đơ, thắt gút
863, thắt lưng, thầm thì
864, thầm thì, thân
865, thân, thân yêu
866, thân yêu, thấp
867, thấp, thất đức
868, thất đức, thật
869, thật lực, thầy đồ
870, thầy giáo, thèm thuồng
871, thèm vào, thép sáu cạnh
872, thép sợi cuộn, thể nghiệm
873, thể nhân, thế tổ
874, thế tộc, thi họa
875, thi hứng, thí
876, thí, thìa súp
877, thích, thiên đường
878, thiên đường, thiên văn
879, thiên văn, thiết bì
880, thiết bị, thiếu điều
881, thiếu điều, thịnh nộ 
882, thịnh soạn, thoa
883, thỏa, thoáng đạt
884, thoáng gió, thoi
885, thoi, thóp
886, thóp, thốc tháo
887, thốc tháo, thôn quê
888, thôn tính, thông lưu
889, thông lưng, thống lãnh
890, thống lĩnh, thở hổn hển
891, thở hổn hển, thời cơ
892, thời cục, thờm thàm
893, thờm thàm, thu thập 
894, thu thuế, thủ mưu
895, thủ ngữ, thụ giáo
896, thụ giới, thuận
897, thuận buồm xuôi gió, thuế đánh theo giá
898, thuế đinh, thùng
899, thùng, thuốc hạ đờm
900, thuốc hãm hình, thuội 
901, thuôn, thủy lực
902, thủy lực học, thuyền nhân
903, thuyền pê-rít-xoa, thư hùng 
904, thư hùng, thứ bậc
905, thứ bậc, thừa phương
906, thừa số, thực lòng
907, thực lòng, thước cong
908, thước cuộn, thương lái
909, thương lái, thường phục
910, thường sơn, thượng tầng
911, thượng tầng kiến trúc, tỉ trọng
912, tỉ trọng, tỉa
913, tỉa, tịch mịch
914, tịch thâu, tiệm tiến
915, tiên, tiền cọc
916, tiền công, tiền phụ cấp
917, tiền phụ cấp, tiến quân
918, tiến sĩ, tiếng tăm
919, tiếng thế, tiếp tay
920, tiếp tân, tiêu
921, tiêu, tiêu thụ
922, tiêu thủy, tiểu phẫu
923, tiểu qui mô, tin 
924, tin, tín vật
925, tinh, tinh thông
926, tinh tinh, tình thâm
927, tình thâm, tĩnh tại 
928, tĩnh tâm, tịnh 
929, tịnh, to gan lớn mật
930, to hó, toa chở nặng
931, toa hạng nhất, tọa độ song song
932, tọa độ thẳng góc, toàn thể
933, toàn thể, tóc thề
934, tóc tiên, tóm 
935, tóm, tóp tòm tọp
936, tóp tọp, tổ nghiệp 
937, tổ ong, tồi
938, tồi, tối tăm
939, tối tăm mặt mày, tôn tạo
940, tôn tạo, tông
941, tông, tổng khủng hoảng
942, tổng kim ngạch, tống táng
